,Median,5th % (Downside),95th % (Upside),ROI (Median)
100% BTC (Fixed),261262105.70517528,3967507.3575709215,19105451180.808346,261162.1057051753
100% BTC (Rebalanced: Annual),244830100.96342412,3535464.9375741812,18330334491.528027,244730.10096342413
Crypto Blend (Rebalanced: Annual),159107097.8198748,2634880.1607284746,7221505839.886809,159007.0978198748
Crypto Blend (Fixed),156283094.45349047,3244819.073368666,7524498542.703154,156183.09445349046
70% Crypto / 30% AI (Rebalanced: Monthly),149377822.44092876,10202576.866678696,2505360102.8916316,149277.82244092875
70% Crypto / 30% AI (Rebalanced: Semi-Annual),146806824.4144524,9232956.17774479,2079482145.1632903,146706.8244144524
70% Crypto / 30% AI (Fixed),142390186.54457188,9269599.441162786,2098313312.6186824,142290.1865445719
70% Crypto / 30% AI (Rebalanced: Quarterly),140119884.6972143,9447690.782825883,2159633897.278648,140019.8846972143
70% Crypto / 30% AI (Rebalanced: Annual),135865280.37841123,9704056.400674552,2073358735.5897014,135765.28037841123
60% Crypto / 40% AI (Rebalanced: Semi-Annual),126085024.8254949,9454388.07798944,1325625424.9125168,125985.02482549491
60% Crypto / 40% AI (Fixed),125592697.2989585,10947017.801805701,1246604213.1587586,125492.6972989585
60% Crypto / 40% AI (Rebalanced: Annual),124648629.7515181,9963294.810856123,1409803309.2587852,124548.62975151809
60% Crypto / 40% AI (Rebalanced: Monthly),119434301.26545636,9754449.575044056,1308714678.0281556,119334.30126545636
60% Crypto / 40% AI (Rebalanced: Quarterly),118659146.51070921,10422092.479244908,1394287287.4834073,118559.14651070921
70% AI / 30% Crypto (Fixed),51313413.43488741,9513928.551210558,304865351.42028594,51213.413434887414
70% AI / 30% Crypto (Rebalanced: Annual),50418163.40969799,8908404.850010786,277237110.8312562,50318.16340969798
AI Blend (Rebalanced: Annual),11531624.71058493,1911103.6552046656,67445983.64791623,11431.624710584929
AI Blend (Fixed),11516709.184852019,1895282.036357399,65340181.64439387,11416.70918485202
CFO Policy (Target 8%),2946608.0005794177,346307.67142546346,36471196.04344759,2846.6080005794174
40% AI / 60% VOO (Rebalanced: Annual),2268639.0548076876,882681.0213138235,5860736.49875303,2168.6390548076874
40% AI / 60% VOO (Fixed),2268371.542597741,870644.6412230988,5664854.505203554,2168.3715425977407
100% XRP (Fixed),2200861.5888573145,7102.755846363691,687265448.8241721,2100.8615888573145
100% XRP (Rebalanced: Annual),2199095.771350734,7626.336428174037,624302033.9341136,2099.0957713507337
100% VOO (Rebalanced: Annual),546697.1267977557,182390.28517502648,1590021.208726044,446.69712679775574
100% VOO (Fixed),544660.7156737559,179297.4470072673,1654152.6067979117,444.6607156737558
